Value,Amplitude_Modulation,Frequency_Modulation
100.0,1.0,1.0
92.668,1.016,0.912
68.983,1.031,0.669
33.595,1.047,0.321
-6.946,1.062,-0.065
-46.065,1.077,-0.428
-78.537,1.092,-0.719
-100.981,1.106,-0.913
-111.649,1.12,-0.996
-109.925,1.134,-0.969
-95.909,1.147,-0.836
-70.353,1.159,-0.607
-34.967,1.171,-0.299
7.058,1.182,0.06
50.631,1.193,0.425
88.938,1.202,0.74
114.559,1.211,0.946
121.446,1.219,0.996
107.065,1.226,0.873
73.628,1.232,0.597
27.636,1.238,0.223
-22.12,1.242,-0.178
-67.109,1.246,-0.539
-101.015,1.248,-0.809
-120.457,1.25,-0.964
-124.635,1.25,-0.997
-114.471,1.25,-0.916
-91.81,1.248,-0.736
-59.025,1.246,-0.474
-19.075,1.242,-0.154
24.17,1.238,0.195
65.638,1.232,0.533
99.214,1.226,0.809
118.648,1.219,0.973
119.204,1.211,0.984
99.498,1.202,0.828
62.585,1.193,0.525
15.522,1.182,0.131
-32.605,1.171,-0.278
-73.302,1.159,-0.632
-100.732,1.147,-0.878
-112.486,1.134,-0.992
-109.097,1.12,-0.974
-92.931,1.106,-0.84
-67.126,1.092,-0.615
-34.954,1.077,-0.324
0.328,1.062,0.003
35.3,1.047,0.337
66.168,1.031,0.642
88.798,1.016,0.874
99.237,1.0,0.992
94.738,0.984,0.962
74.972,0.969,0.774
42.809,0.953,0.449
4.06,0.938,0.043
-33.951,0.923,-0.368
-64.447,0.908,-0.71
-82.942,0.894,-0.928
-87.955,0.88,-1.0
-80.62,0.866,-0.931
-63.653,0.853,-0.746
-40.304,0.841,-0.479
-13.675,0.829,-0.165
13.492,0.818,0.165
38.709,0.807,0.479
59.526,0.798,0.746
73.441,0.789,0.931
78.092,0.781,1.0
71.825,0.774,0.928
54.481,0.768,0.71
28.045,0.762,0.368
-3.281,0.758,-0.043
-33.883,0.754,-0.449
-58.2,0.752,-0.774
-72.234,0.75,-0.962
-74.427,0.75,-0.992
-65.612,0.75,-0.874
-48.245,0.752,-0.642
-25.44,0.754,-0.337
-0.234,0.758,-0.003
24.732,0.762,0.324
47.181,0.768,0.615
64.991,0.774,0.84
76.038,0.781,0.974
78.259,0.789,0.992
70.063,0.798,0.878
51.047,0.807,0.632
22.767,0.818,0.278
-10.882,0.829,-0.131
-44.114,0.841,-0.525
-70.598,0.853,-0.828
-85.242,0.866,-0.984
-85.604,0.88,-0.973
-72.299,0.894,-0.809
-48.357,0.908,-0.533
-18.018,0.923,-0.195
14.402,0.938,0.154
45.168,0.953,0.474
71.259,0.969,0.736
90.175,0.984,0.916
99.708,1.0,0.997
97.917,1.016,0.964
83.476,1.031,0.809
56.402,1.047,0.539
18.915,1.062,0.178
-24.052,1.077,-0.223
-65.239,1.092,-0.597
-96.608,1.106,-0.873
-111.62,1.12,-0.996
-107.264,1.134,-0.946
-84.847,1.147,-0.74
-49.218,1.159,-0.425
-6.992,1.171,-0.06
35.298,1.182,0.299
72.372,1.193,0.607
100.534,1.202,0.836
117.401,1.211,0.969
121.478,1.219,0.996
111.911,1.226,0.913
88.636,1.232,0.719
52.929,1.238,0.428
8.122,1.242,0.065
-39.973,1.246,-0.321
-83.478,1.248,-0.669
-113.999,1.25,-0.912
-125.0,1.25,-1.0
-113.999,1.25,-0.912
-83.478,1.248,-0.669
-39.973,1.246,-0.321
8.122,1.242,0.065
52.929,1.238,0.428
88.636,1.232,0.719
111.911,1.226,0.913
121.478,1.219,0.996
117.401,1.211,0.969
100.534,1.202,0.836
72.372,1.193,0.607
35.298,1.182,0.299
-6.992,1.171,-0.06
-49.218,1.159,-0.425
-84.847,1.147,-0.74
-107.264,1.134,-0.946
-111.62,1.12,-0.996
-96.608,1.106,-0.873
-65.239,1.092,-0.597
-24.052,1.077,-0.223
18.915,1.062,0.178
56.402,1.047,0.539
83.476,1.031,0.809
97.917,1.016,0.964
99.708,1.0,0.997
90.175,0.984,0.916
71.259,0.969,0.736
45.168,0.953,0.474
14.402,0.938,0.154
-18.018,0.923,-0.195
-48.357,0.908,-0.533
-72.299,0.894,-0.809
-85.604,0.88,-0.973
-85.242,0.866,-0.984
-70.598,0.853,-0.828
-44.114,0.841,-0.525
-10.882,0.829,-0.131
22.767,0.818,0.278
51.047,0.807,0.632
70.063,0.798,0.878
78.259,0.789,0.992
76.038,0.781,0.974
64.991,0.774,0.84
47.181,0.768,0.615
24.732,0.762,0.324
-0.234,0.758,-0.003
-25.44,0.754,-0.337
-48.245,0.752,-0.642
-65.612,0.75,-0.874
-74.427,0.75,-0.992
-72.234,0.75,-0.962
-58.2,0.752,-0.774
-33.883,0.754,-0.449
-3.281,0.758,-0.043
28.045,0.762,0.368
54.481,0.768,0.71
71.825,0.774,0.928
78.092,0.781,1.0
73.441,0.789,0.931
59.526,0.798,0.746
38.709,0.807,0.479
13.492,0.818,0.165
-13.675,0.829,-0.165
-40.304,0.841,-0.479
-63.653,0.853,-0.746
-80.62,0.866,-0.931
-87.955,0.88,-1.0
-82.942,0.894,-0.928
-64.447,0.908,-0.71
-33.951,0.923,-0.368
4.06,0.938,0.043
42.809,0.953,0.449
74.972,0.969,0.774
94.738,0.984,0.962
99.237,1.0,0.992
88.798,1.016,0.874
66.168,1.031,0.642
35.3,1.047,0.337
0.328,1.062,0.003
-34.954,1.077,-0.324
-67.126,1.092,-0.615
-92.931,1.106,-0.84
-109.097,1.12,-0.974
-112.486,1.134,-0.992
-100.732,1.147,-0.878
-73.302,1.159,-0.632
-32.605,1.171,-0.278
15.522,1.182,0.131
62.585,1.193,0.525
99.498,1.202,0.828
119.204,1.211,0.984
118.648,1.219,0.973
99.214,1.226,0.809
65.638,1.232,0.533
24.17,1.238,0.195
-19.075,1.242,-0.154
-59.025,1.246,-0.474
-91.81,1.248,-0.736
-114.471,1.25,-0.916
-124.635,1.25,-0.997
-120.457,1.25,-0.964
-101.015,1.248,-0.809
-67.109,1.246,-0.539
-22.12,1.242,-0.178
27.636,1.238,0.223
73.628,1.232,0.597
107.065,1.226,0.873
121.446,1.219,0.996
114.559,1.211,0.946
88.938,1.202,0.74
50.631,1.193,0.425
7.058,1.182,0.06
-34.967,1.171,-0.299
-70.353,1.159,-0.607
-95.909,1.147,-0.836
-109.925,1.134,-0.969
-111.649,1.12,-0.996
-100.981,1.106,-0.913
-78.537,1.092,-0.719
-46.065,1.077,-0.428
-6.946,1.062,-0.065
33.595,1.047,0.321
68.983,1.031,0.669
92.668,1.016,0.912
100.0,1.0,1.0
89.803,0.984,0.912
64.792,0.969,0.669
30.588,0.953,0.321
-6.133,0.938,-0.065
-39.458,0.923,-0.428
-65.3,0.908,-0.719
-81.551,0.894,-0.913
-87.646,0.88,-0.996
-83.953,0.866,-0.969
-71.333,0.853,-0.836
-51.013,0.841,-0.607
-24.747,0.829,-0.299
4.882,0.818,0.06
34.275,0.807,0.425
59.014,0.798,0.74
74.626,0.789,0.946
77.797,0.781,0.996
67.563,0.774,0.873
45.855,0.768,0.597
17.018,0.762,0.223
-13.496,0.758,-0.178
-40.647,0.754,-0.539
-60.864,0.752,-0.809
-72.35,0.75,-0.964
-74.781,0.75,-0.997
-68.755,0.75,-0.916
-55.318,0.752,-0.736
-35.751,0.754,-0.474
-11.638,0.758,-0.154
14.884,0.762,0.195
40.879,0.768,0.533
62.609,0.774,0.809
76.004,0.781,0.973
77.651,0.789,0.984
66.021,0.798,0.828
42.368,0.807,0.525
10.736,0.818,0.131
-23.076,0.829,-0.278
-53.151,0.841,-0.632
-74.921,0.853,-0.878
-85.91,0.866,-0.992
-85.643,0.88,-0.974
-75.05,0.894,-0.84
-55.812,0.908,-0.615
-29.94,0.923,-0.324
0.289,0.938,0.003
32.141,0.953,0.337
62.148,0.969,0.642
86.053,0.984,0.874
99.237,1.0,0.992
97.76,1.016,0.962
79.822,1.031,0.774
47.016,1.047,0.449
4.598,1.062,0.043
-39.636,1.077,-0.368
-77.512,1.092,-0.71
-102.703,1.106,-0.928
-112.043,1.12,-1.0
-105.56,1.134,-0.931
-85.583,1.147,-0.746
-55.584,1.159,-0.479
-19.322,1.171,-0.165
19.505,1.182,0.165
57.179,1.193,0.479
89.71,1.202,0.746
112.74,1.211,0.931
121.907,1.219,1.0
113.819,1.226,0.928
87.478,1.232,0.71
45.542,1.238,0.368
-5.377,1.242,-0.043
-55.942,1.246,-0.449
-96.594,1.248,-0.774
-120.263,1.25,-0.962
-124.046,1.25,-0.992
-109.239,1.25,-0.874
-80.071,1.248,-0.642
-42.001,1.246,-0.337
-0.383,1.242,-0.003
40.162,1.238,0.324
75.757,1.232,0.615
102.99,1.226,0.84
118.701,1.219,0.974
120.137,1.211,0.992
105.59,1.202,0.878
75.405,1.193,0.632
32.915,1.182,0.278
-15.376,1.171,-0.131
-60.839,1.159,-0.525
-94.921,1.147,-0.828
-111.612,1.134,-0.984
-109.047,1.12,-0.973
-89.524,1.106,-0.809
-58.16,1.092,-0.533
-21.035,1.077,-0.195
16.311,1.062,0.154
49.608,1.047,0.474
75.869,1.031,0.736
93.051,1.016,0.916
99.708,1.0,0.997
94.89,0.984,0.964
78.404,0.969,0.809
51.354,0.953,0.539
16.7,0.938,0.178
-20.602,0.923,-0.223
-54.243,0.908,-0.597
-78.02,0.894,-0.873
-87.623,0.88,-0.996
