Value,Amplitude_Modulation,Frequency_Modulation
100.0,1.0,1.0
100.365,1.006,0.998
100.327,1.011,0.992
99.88,1.017,0.982
99.023,1.023,0.968
97.753,1.028,0.951
96.072,1.034,0.929
93.982,1.04,0.904
91.487,1.045,0.875
88.593,1.051,0.843
85.309,1.056,0.808
81.642,1.062,0.769
77.605,1.068,0.727
73.21,1.073,0.682
68.471,1.079,0.635
63.406,1.084,0.585
58.03,1.09,0.532
52.364,1.095,0.478
46.428,1.101,0.422
40.243,1.106,0.364
33.834,1.112,0.304
27.223,1.117,0.244
20.437,1.123,0.182
13.503,1.128,0.12
6.446,1.134,0.057
-0.704,1.139,-0.006
-7.919,1.144,-0.069
-15.169,1.15,-0.132
-22.426,1.155,-0.194
-29.658,1.16,-0.256
-36.836,1.166,-0.316
-43.929,1.171,-0.375
-50.908,1.176,-0.433
-57.742,1.181,-0.489
-64.402,1.186,-0.543
-70.859,1.192,-0.595
-77.084,1.197,-0.644
-83.049,1.202,-0.691
-88.728,1.207,-0.735
-94.095,1.212,-0.776
-99.125,1.217,-0.815
-103.794,1.222,-0.85
-108.08,1.227,-0.881
-111.963,1.231,-0.909
-115.423,1.236,-0.934
-118.442,1.241,-0.954
-121.005,1.246,-0.971
-123.098,1.251,-0.984
-124.708,1.255,-0.993
-125.825,1.26,-0.999
-126.442,1.265,-1.0
-126.551,1.269,-0.997
-126.149,1.274,-0.991
-125.234,1.278,-0.98
-123.807,1.282,-0.965
-121.869,1.287,-0.947
-119.425,1.291,-0.925
-116.483,1.295,-0.899
-113.05,1.3,-0.87
-109.138,1.304,-0.837
-104.761,1.308,-0.801
-99.932,1.312,-0.762
-94.671,1.316,-0.719
-88.995,1.32,-0.674
-82.925,1.324,-0.626
-76.485,1.328,-0.576
-69.699,1.332,-0.523
-62.593,1.336,-0.469
-55.195,1.339,-0.412
-47.533,1.343,-0.354
-39.638,1.347,-0.294
-31.541,1.35,-0.234
-23.274,1.354,-0.172
-14.871,1.357,-0.11
-6.366,1.361,-0.047
2.207,1.364,0.016
10.812,1.367,0.079
19.415,1.371,0.142
27.98,1.374,0.204
36.471,1.377,0.265
44.853,1.38,0.325
53.091,1.383,0.384
61.15,1.386,0.441
68.997,1.389,0.497
76.598,1.392,0.55
83.921,1.394,0.602
90.936,1.397,0.651
97.611,1.4,0.697
103.918,1.402,0.741
109.83,1.405,0.782
115.321,1.407,0.82
120.367,1.41,0.854
124.946,1.412,0.885
129.038,1.414,0.913
132.625,1.416,0.936
135.689,1.418,0.957
138.218,1.42,0.973
140.199,1.422,0.986
141.623,1.424,0.994
142.482,1.426,0.999
142.772,1.428,1.0
142.489,1.43,0.997
141.635,1.431,0.99
140.211,1.433,0.979
138.221,1.434,0.964
135.674,1.436,0.945
132.577,1.437,0.922
128.944,1.439,0.896
124.788,1.44,0.867
120.126,1.441,0.834
114.975,1.442,0.797
109.357,1.443,0.758
103.293,1.444,0.715
96.808,1.445,0.67
89.928,1.446,0.622
82.682,1.446,0.572
75.098,1.447,0.519
67.207,1.448,0.464
59.041,1.448,0.408
50.634,1.449,0.35
42.02,1.449,0.29
33.235,1.449,0.229
24.313,1.45,0.168
15.292,1.45,0.105
6.209,1.45,0.043
-2.9,1.45,-0.02
-11.996,1.45,-0.083
-21.044,1.45,-0.145
-30.005,1.45,-0.207
-38.843,1.449,-0.268
-47.522,1.449,-0.328
-56.007,1.449,-0.387
-64.262,1.448,-0.444
-72.255,1.448,-0.499
-79.953,1.447,-0.552
-87.325,1.446,-0.604
-94.341,1.446,-0.653
-100.973,1.445,-0.699
-107.194,1.444,-0.742
-112.979,1.443,-0.783
-118.305,1.442,-0.82
-123.152,1.441,-0.855
-127.5,1.44,-0.886
-131.332,1.439,-0.913
-134.634,1.437,-0.937
-137.392,1.436,-0.957
-139.598,1.434,-0.973
-141.244,1.433,-0.986
-142.323,1.431,-0.994
-142.832,1.43,-0.999
-142.772,1.428,-1.0
-142.143,1.426,-0.997
-140.95,1.424,-0.99
-139.198,1.422,-0.979
-136.898,1.42,-0.964
-134.059,1.418,-0.945
-130.696,1.416,-0.923
-126.822,1.414,-0.897
-122.456,1.412,-0.867
