Time,Value
0.0,99.862
0.02,101.68
0.04,102.622
0.06,102.642
0.08,101.701
0.1,99.766
0.12,96.814
0.14,92.831
0.16,87.815
0.18,81.772
0.2,74.724
0.22,66.704
0.24,57.757
0.26,47.945
0.28,37.342
0.3,26.037
0.32,14.133
0.34,1.747
0.36,-10.991
0.38,-23.937
0.4,-36.939
0.42,-49.832
0.44,-62.445
0.46,-74.6
0.48,-86.118
0.5,-96.817
0.52,-106.519
0.54,-115.049
0.56,-122.246
0.58,-127.958
0.6,-132.05
0.62,-134.409
0.64,-134.944
0.66,-133.592
0.68,-130.318
0.7,-125.124
0.72,-118.041
0.74,-109.142
0.76,-98.534
0.78,-86.359
0.8,-72.799
0.82,-58.066
0.84,-42.406
0.86,-26.09
0.88,-9.411
0.9,7.32
0.92,23.783
0.94,39.657
0.96,54.624
0.98,68.377
1.0,80.634
1.02,91.138
1.04,99.668
1.06,106.046
1.08,110.142
1.1,111.877
1.12,111.227
1.14,108.225
1.16,102.962
1.18,95.582
1.2,86.281
1.22,75.301
1.24,62.926
1.26,49.47
1.28,35.272
1.3,20.685
1.32,6.066
1.34,-8.231
1.36,-21.871
1.38,-34.54
1.4,-45.955
1.42,-55.875
1.44,-64.101
1.46,-70.485
1.48,-74.926
1.5,-77.378
1.52,-77.845
1.54,-76.38
1.56,-73.081
1.58,-68.087
1.6,-61.571
1.62,-53.737
1.64,-44.81
1.66,-35.032
1.68,-24.654
1.7,-13.931
1.72,-3.113
1.74,7.555
1.76,17.841
1.78,27.53
1.8,36.426
1.82,44.355
1.84,51.168
1.86,56.739
1.88,60.972
1.9,63.795
1.92,65.163
1.94,65.06
1.96,63.495
1.98,60.503
2.0,56.144
2.02,50.502
2.04,43.684
2.06,35.817
2.08,27.047
2.1,17.536
2.12,7.461
2.14,-2.989
2.16,-13.619
2.18,-24.227
2.2,-34.613
2.22,-44.577
2.24,-53.925
2.26,-62.474
2.28,-70.055
2.3,-76.513
2.32,-81.717
2.34,-85.554
2.36,-87.937
2.38,-88.808
2.4,-88.131
2.42,-85.901
2.44,-82.141
2.46,-76.897
2.48,-70.245
2.5,-62.281
2.52,-53.126
2.54,-42.917
2.56,-31.81
2.58,-19.971
2.6,-7.578
2.62,5.185
2.64,18.131
2.66,31.074
2.68,43.829
2.7,56.218
2.72,68.074
2.74,79.236
2.76,89.561
2.78,98.917
2.8,107.191
2.82,114.285
2.84,120.119
2.86,124.633
2.88,127.783
2.9,129.546
2.92,129.913
2.94,128.896
2.96,126.521
2.98,122.83
3.0,117.878
3.02,111.736
3.04,104.483
3.06,96.211
3.08,87.019
3.1,77.017
3.12,66.317
3.14,55.039
3.16,43.305
3.18,31.238
3.2,18.966
3.22,6.612
3.24,-5.7
3.26,-17.848
3.28,-29.714
3.3,-41.186
3.32,-52.156
3.34,-62.522
3.36,-72.189
3.38,-81.071
3.4,-89.09
3.42,-96.177
3.44,-102.272
3.46,-107.325
3.48,-111.297
3.5,-114.16
3.52,-115.896
3.54,-116.501
3.56,-115.977
3.58,-114.343
3.6,-111.626
3.62,-107.865
3.64,-103.108
3.66,-97.416
3.68,-90.858
3.7,-83.512
3.72,-75.466
3.74,-66.814
3.76,-57.656
3.78,-48.099
3.8,-38.253
3.82,-28.234
3.84,-18.155
3.86,-8.133
3.88,1.716
3.9,11.279
3.92,20.447
3.94,29.116
3.96,37.186
3.98,44.566
4.0,51.173
4.02,56.933
4.04,61.783
4.06,65.668
4.08,68.549
4.1,70.393
4.12,71.184
4.14,70.914
4.16,69.592
4.18,67.234
4.2,63.872
4.22,59.549
4.24,54.319
4.26,48.248
4.28,41.414
4.3,33.907
4.32,25.827
4.34,17.285
4.36,8.403
4.38,-0.688
4.4,-9.845
4.42,-18.921
4.44,-27.758
4.46,-36.193
4.48,-44.062
4.5,-51.197
4.52,-57.432
4.54,-62.609
4.56,-66.577
4.58,-69.198
4.6,-70.355
4.62,-69.951
4.64,-67.921
4.66,-64.227
4.68,-58.873
4.7,-51.9
4.72,-43.395
4.74,-33.488
4.76,-22.353
4.78,-10.21
4.8,2.682
4.82,16.025
4.84,29.493
4.86,42.738
4.88,55.397
4.9,67.106
4.92,77.508
4.94,86.267
4.96,93.078
4.98,97.679
5.0,99.862
5.02,99.48
5.04,96.455
5.06,90.786
5.08,82.545
5.1,71.883
5.12,59.026
5.14,44.265
5.16,27.957
5.18,10.507
5.2,-7.641
5.22,-26.017
5.24,-44.139
5.26,-61.529
5.28,-77.726
5.3,-92.3
5.32,-104.869
5.34,-115.102
5.36,-122.736
5.38,-127.578
5.4,-129.511
5.42,-128.497
5.44,-124.574
5.46,-117.854
5.48,-108.521
5.5,-96.817
5.52,-83.04
5.54,-67.531
5.56,-50.661
5.58,-32.826
5.6,-14.431
5.62,4.123
5.64,22.441
5.66,40.153
5.68,56.914
5.7,72.419
5.72,86.4
5.74,98.636
5.76,108.954
5.78,117.228
5.8,123.383
5.82,127.39
5.84,129.262
5.86,129.056
5.88,126.866
5.9,122.815
5.92,117.056
5.94,109.763
5.96,101.126
5.98,91.347
6.0,80.634
6.02,69.198
6.04,57.245
6.06,44.979
6.08,32.59
6.1,20.26
6.12,8.155
6.14,-3.574
6.16,-14.796
6.18,-25.392
6.2,-35.267
6.22,-44.34
6.24,-52.548
6.26,-59.845
6.28,-66.202
6.3,-71.604
6.32,-76.047
6.34,-79.542
6.36,-82.11
6.38,-83.779
6.4,-84.587
6.42,-84.578
6.44,-83.799
6.46,-82.303
6.48,-80.144
6.5,-77.378
6.52,-74.061
6.54,-70.249
6.56,-65.996
6.58,-61.357
6.6,-56.381
6.62,-51.117
6.64,-45.611
6.66,-39.905
6.68,-34.039
6.7,-28.05
6.72,-21.973
